,cx,cy,ctheta,ck
0,0.0,0.0,0.0,0.0
1,0.2,0.0,0.0,0.0
2,0.4,0.0,0.0,0.0
3,0.6000000000000001,0.0,0.0,0.0
4,0.8,0.0,0.0,0.0
5,1.0,0.0,0.0,0.0
6,1.2000000000000002,0.0,0.0,0.0
7,1.4000000000000001,0.0,0.0,0.0
8,1.6,0.0,0.0,0.0
9,1.8,0.0,0.0,0.0
10,2.0,0.0,0.0,0.0
11,2.2,0.0,0.0,0.0
12,2.4000000000000004,0.0,0.0,0.0
13,2.6,0.0,0.0,0.0
14,2.8000000000000003,0.0,0.0,0.0
15,3.0,0.0,0.0,0.0
16,3.2,0.0,0.0,0.0
17,3.4000000000000004,0.0,0.0,0.0
18,3.6,0.0,0.0,0.0
19,3.8000000000000003,0.0,0.0,0.0
20,4.0,0.0,0.0,0.0
21,4.2,0.0,0.0,0.0
22,4.4,0.0,0.0,0.0
23,4.6000000000000005,0.0,0.0,0.0
24,4.800000000000001,0.0,0.0,0.0
25,5.0,0.0,0.0,0.0
26,5.2,0.0,0.0,0.0
27,5.4,0.0,0.0,0.0
28,5.6000000000000005,0.0,0.0,0.0
29,5.800000000000001,0.0,0.0,0.0
30,6.0,0.0,0.0,0.0
31,6.2,0.0,0.0,0.0
32,6.4,0.0,0.0,0.0
33,6.6000000000000005,0.0,0.0,0.0
34,6.800000000000001,0.0,0.0,0.0
35,7.0,0.0,0.0,0.0
36,7.2,0.0,0.0,0.0
37,7.4,0.0,0.0,0.0
38,7.6000000000000005,0.0,0.0,0.0
39,7.800000000000001,0.0,0.0,0.0
40,8.0,0.0,0.0,0.0
41,8.200000000000001,0.0,0.0,0.0
42,8.4,0.0,0.0,0.0
43,8.6,0.0,0.0,0.0
44,8.8,0.0,0.0,0.0
45,9.0,0.0,0.0,0.0
46,9.200000000000001,0.0,0.0,0.0
47,9.4,0.0,0.0,0.0
48,9.600000000000001,0.0,0.0,0.0
49,9.8,0.0,0.0,0.0
50,10.0,0.0,0.0,0.0
51,10.200000000000001,0.0,0.0,0.0
52,10.4,0.0,0.0,0.0
53,10.600000000000001,0.0,0.0,0.0
54,10.8,0.0,0.0,0.0
55,11.0,0.0,0.0,0.0
56,11.200000000000001,0.0,0.0,0.0
57,11.4,0.0,0.0,0.0
58,11.600000000000001,0.0,0.0,0.0
59,11.8,0.0,0.0,0.0
60,12.0,0.0,0.0,0.0
61,12.200000000000001,0.0,0.0,0.0
62,12.4,0.0,0.0,0.0
63,12.600000000000001,0.0,0.0,0.0
64,12.8,0.0,0.0,0.0
65,13.0,0.0,0.0,0.0
66,13.200000000000001,0.0,0.0,0.0
67,13.4,0.0,0.0,0.0
68,13.600000000000001,0.0,0.0,0.0
